filling time,MR d13C,d13C VPDB
12/11/2016 21:05,2111.974396,-48.3
12/11/2016 21:39,2108.974396,-48.41
12/11/2016 22:46,2121.974396,-48.24
12/11/2016 23:20,2107.974396,-48.39
13/11/2016 00:28,2125.974396,-48.59
13/11/2016 01:01,2119.974396,-48.54
13/11/2016 02:09,2138.974396,-48.43
13/11/2016 02:43,2144.974396,-48.04
13/11/2016 03:50,2135.974396,-48.36
13/11/2016 04:24,2140.974396,-48.34
13/11/2016 05:32,2138.974396,-48.26
13/11/2016 06:06,2146.974396,-48.35
13/11/2016 07:13,2140.974396,-48.28
13/11/2016 07:47,2134.974396,-48.28
13/11/2016 08:55,2145.974396,-48.54
13/11/2016 09:29,2135.974396,-48.55
13/11/2016 11:16,2123.974396,-48.65
13/11/2016 12:24,2145.974396,-48.75
13/11/2016 12:57,2149.974396,-48.78
13/11/2016 14:05,2154.974396,-48.8
13/11/2016 14:39,2167.974396,-48.85
13/11/2016 15:47,2158.974396,-48.99
13/11/2016 16:20,2151.974396,-48.85
13/11/2016 17:28,2253.974396,-49.51
13/11/2016 18:02,2174.974396,-48.9
13/11/2016 19:10,2185.974396,-48.63
13/11/2016 19:43,2199.974396,-48.67
13/11/2016 20:51,2224.974396,-48.94
13/11/2016 21:25,2258.974396,-48.89
13/11/2016 22:32,2236.974396,-49.16
13/11/2016 23:06,2236.974396,-49.18
14/11/2016 00:14,2286.974396,-49.63
14/11/2016 00:48,2310.974396,-49.4
14/11/2016 01:55,2392.974396,-50.13
14/11/2016 02:29,2419.974396,-50.3
14/11/2016 03:37,2453.974396,-50.16
14/11/2016 04:11,2502.974396,-50.21
14/11/2016 05:18,2543.974396,-50.77
14/11/2016 05:52,2598.974396,-50.91
14/11/2016 10:23,2384.974396,
14/11/2016 10:56,2357.974396,-49.89
14/11/2016 12:04,2277.974396,
14/11/2016 12:38,2232.974396,-49.33
14/11/2016 13:46,2212.974396,-49.06
14/11/2016 14:19,2225.974396,
14/11/2016 15:27,2196.974396,-48.93
14/11/2016 16:01,2205.974396,-49.05
14/11/2016 23:07,2275.6029,
14/11/2016 23:41,2245.6029,-48.99
15/11/2016 00:49,2240.6029,
15/11/2016 01:22,2206.6029,-48.87
15/11/2016 02:30,2197.6029,-48.72
15/11/2016 03:04,2207.6029,-48.8
15/11/2016 04:11,2201.6029,-48.66
15/11/2016 04:45,2205.6029,-48.85
15/11/2016 05:53,2203.6029,-48.87
15/11/2016 06:27,2203.6029,-48.9
15/11/2016 07:34,2216.6029,-48.9
15/11/2016 08:08,2189.6029,-48.99
15/11/2016 09:16,2099.6029,-48.85
15/11/2016 09:50,1993.6029,-48.15
15/11/2016 10:57,1968.6029,-48.14
15/11/2016 11:31,1960.6029,-48.12
15/11/2016 14:24,1963.6029,-47.9
15/11/2016 14:58,1953.6029,-48.06
15/11/2016 16:05,1938.6029,-47.99
15/11/2016 16:39,1937.6029,-48.08
15/11/2016 17:47,1937.6029,-48
15/11/2016 18:21,1945.6029,-47.97
15/11/2016 19:28,1949.6029,-47.62
15/11/2016 20:02,1974.6029,-48.18
15/11/2016 21:10,1946.6029,-47.95
15/11/2016 21:44,1943.6029,-47.92
15/11/2016 22:51,2023.6029,-48.52
15/11/2016 23:25,2071.6029,-48.65
16/11/2016 00:33,2099.6029,-48.74
16/11/2016 01:06,2094.6029,-48.98
16/11/2016 02:14,2031.6029,-48.65
16/11/2016 02:48,1998.6029,-48.26
16/11/2016 03:56,1987.6029,-48.24
16/11/2016 04:29,2046.6029,-48.56
16/11/2016 05:37,2175.6029,-49.6
16/11/2016 06:11,2152.6029,-49.32
16/11/2016 07:19,2212.6029,-49.59
16/11/2016 07:52,2172.6029,-49.26
16/11/2016 10:38,1976.6029,-48.08
16/11/2016 11:12,1960.6029,-47.94
16/11/2016 12:20,1949.6029,-47.93
16/11/2016 12:54,1947.6029,-48.13
16/11/2016 14:01,1955.6029,-48.13
16/11/2016 14:35,1954.6029,-47.91
16/11/2016 15:43,1963.6029,-48.18
16/11/2016 16:17,1973.6029,-48.38
16/11/2016 17:24,1985.6029,-48.2
16/11/2016 17:58,1983.6029,-48.2
16/11/2016 19:06,1985.6029,-47.87
16/11/2016 19:40,1976.6029,-47.9
16/11/2016 20:47,1943.6029,-47.82
