filling time,[CH4] (ppb),δ¹³C VPDB (‰)
12/11/2016 21:05,,-48.3
12/11/2016 21:39,,-48.41
12/11/2016 22:46,,-48.24
12/11/2016 23:20,,-48.39
13/11/2016 00:28,,-48.59
13/11/2016 01:01,,-48.54
13/11/2016 02:09,,-48.43
13/11/2016 02:43,,-48.04
13/11/2016 03:50,,-48.36
13/11/2016 04:24,,-48.34
13/11/2016 05:32,,-48.26
13/11/2016 06:06,,-48.35
13/11/2016 07:13,,-48.28
13/11/2016 07:47,,-48.28
13/11/2016 08:55,,-48.54
13/11/2016 09:29,,-48.55
13/11/2016 11:16,,-48.65
13/11/2016 12:24,,-48.75
13/11/2016 12:57,,-48.78
13/11/2016 14:05,,-48.8
13/11/2016 14:39,,-48.85
13/11/2016 15:47,,-48.99
13/11/2016 16:20,,-48.85
13/11/2016 17:28,,-49.51
13/11/2016 18:02,,-48.9
13/11/2016 19:10,,-48.63
13/11/2016 19:43,,-48.67
13/11/2016 20:51,,-48.94
13/11/2016 21:25,,-48.89
13/11/2016 22:32,,-49.16
13/11/2016 23:06,,-49.18
14/11/2016 00:14,,-49.63
14/11/2016 00:48,,-49.4
14/11/2016 01:55,,-50.13
14/11/2016 02:29,,-50.3
14/11/2016 03:37,,-50.16
14/11/2016 04:11,,-50.21
14/11/2016 05:18,,-50.77
14/11/2016 05:52,,-50.91
14/11/2016 10:23,,
14/11/2016 10:56,,-49.89
14/11/2016 12:04,,
14/11/2016 12:38,,-49.33
14/11/2016 13:46,,-49.06
14/11/2016 14:19,,
14/11/2016 15:27,,-48.93
14/11/2016 16:01,,-49.05
14/11/2016 23:07,2275.850441,
14/11/2016 23:41,2245.850441,-48.99
15/11/2016 00:49,2240.850441,
15/11/2016 01:22,2206.850441,-48.87
15/11/2016 02:30,2197.850441,-48.72
15/11/2016 03:04,2207.850441,-48.8
15/11/2016 04:11,2201.850441,-48.66
15/11/2016 04:45,2205.850441,-48.85
15/11/2016 05:53,2203.850441,-48.87
15/11/2016 06:27,2203.850441,-48.9
15/11/2016 07:34,2216.850441,-48.9
15/11/2016 08:08,2189.850441,-48.99
15/11/2016 09:16,2099.850441,-48.85
15/11/2016 09:50,1993.850441,-48.15
15/11/2016 10:57,1968.850441,-48.14
15/11/2016 11:31,1960.850441,-48.12
15/11/2016 14:24,1963.850441,-47.9
15/11/2016 14:58,1953.850441,-48.06
15/11/2016 16:05,1938.850441,-47.99
15/11/2016 16:39,1937.850441,-48.08
15/11/2016 17:47,1937.850441,-48
15/11/2016 18:21,1945.850441,-47.97
15/11/2016 19:28,1949.850441,-47.62
15/11/2016 20:02,1974.850441,-48.18
15/11/2016 21:10,1946.850441,-47.95
15/11/2016 21:44,1943.850441,-47.92
15/11/2016 22:51,2023.850441,-48.52
15/11/2016 23:25,2071.850441,-48.65
16/11/2016 00:33,2099.850441,-48.74
