filling time,MR dD,dD SMOW
03/11/2016 00:01,2072.227736,-85.69
03/11/2016 00:20,1962,-82.55
03/11/2016 01:12,1988.227736,-81.5
03/11/2016 01:30,2045,-85.72
03/11/2016 02:23,1910.227736,-73.01
03/11/2016 02:41,1943,-85.21
03/11/2016 03:33,1951.227736,-83.05
03/11/2016 03:50,1953,-85
03/11/2016 04:42,2004.227736,-113.21
03/11/2016 05:00,1991,-96.08
03/11/2016 05:51,1920.227736,-101.7
03/11/2016 06:09,1947,-85.1
03/11/2016 07:00,1918.227736,-81.12
03/11/2016 07:17,1940,-87.38
03/11/2016 08:09,2069.227736,-99.03
03/11/2016 08:26,1980,-82.72
03/11/2016 09:17,2028.227736,-109.76
03/11/2016 09:34,2079,-101.22
03/11/2016 10:25,2065.227736,-97.86
03/11/2016 10:42,2044,-91.52
03/11/2016 11:33,2015.227736,-98.81
03/11/2016 11:50,2006,-91.23
03/11/2016 12:41,1977.227736,-80.02
03/11/2016 12:58,1985,-86.03
03/11/2016 13:49,1979.227736,-89.87
03/11/2016 14:06,1970,-89.48
03/11/2016 14:57,1992.227736,-86.04
03/11/2016 15:14,2027,-97.02
03/11/2016 16:05,2023.227736,-99.75
03/11/2016 16:22,2053,-88.32
03/11/2016 17:13,2095.227736,-100.57
03/11/2016 17:30,2114,-98.8
03/11/2016 18:21,2162.227736,-113.23
03/11/2016 18:38,2097,-98.53
03/11/2016 19:29,2015.227736,-91.64
03/11/2016 19:46,2036,-95.03
03/11/2016 20:37,2052.227736,-98.75
03/11/2016 20:54,2084,-105.25
03/11/2016 21:45,2094.227736,-103.15
03/11/2016 22:02,2123,-104.06
03/11/2016 22:53,2118.227736,-98.81
03/11/2016 23:10,2117,-100.22
04/11/2016 00:01,2109.227736,-105.35
04/11/2016 00:17,2108,-95.91
04/11/2016 01:08,2090.227736,-100.07
04/11/2016 01:25,2102,-97.45
04/11/2016 02:16,2081.227736,-92.46
04/11/2016 02:33,2088,-98.3
04/11/2016 03:24,2112.227736,-96.65
04/11/2016 03:40,2131,-107.85
04/11/2016 04:31,2120.227736,-92.31
04/11/2016 04:48,2119,-98.28
04/11/2016 05:39,2114.227736,-104.52
04/11/2016 05:56,2119,-103.23
04/11/2016 06:47,2099.227736,-108.08
04/11/2016 07:03,2089,-96.89
04/11/2016 07:54,2119.227736,-100
04/11/2016 08:11,2130,-98.4
04/11/2016 09:02,2105.227736,-99.69
04/11/2016 09:19,2129,-99.82
04/11/2016 10:10,2116.227736,-106.49
04/11/2016 10:26,2123,-105.55
04/11/2016 11:17,2102.227736,-110.8
04/11/2016 11:34,2115,-103.07
04/11/2016 12:25,2103.227736,-107.86
04/11/2016 18:06,2156.196964,-117.21
04/11/2016 18:50,2134.196964,-111.75
04/11/2016 19:12,2156.041809,-109.77
04/11/2016 19:56,2175.041809,-111.36
04/11/2016 20:18,2193.196964,-109.32
04/11/2016 21:02,2192.196964,-109.59
04/11/2016 21:24,2188.041809,-108.92
04/11/2016 22:07,2195.041809,-112.63
04/11/2016 22:29,2225.196964,-109.96
04/11/2016 23:35,2226.041809,-117.71
05/11/2016 00:19,2243.041809,-120.33
05/11/2016 00:41,2304.196964,-121.82
05/11/2016 01:25,2313.196964,-119.43
05/11/2016 10:51,2048.596575,-112.65
05/11/2016 11:35,2023.596575,-106.79
05/11/2016 11:57,2016,-89.73
05/11/2016 12:40,1966,-89.78
05/11/2016 13:02,1959.596575,-88.94
05/11/2016 13:46,1971.596575,-89.72
05/11/2016 14:08,1954,-92.29
05/11/2016 14:52,1948,-91.76
05/11/2016 15:14,1939.596575,-93.68
05/11/2016 15:58,1949.596575,-88.98
05/11/2016 16:20,1975,-88.43
05/11/2016 17:04,2035,-93.3
05/11/2016 17:26,2019.596575,-100.12
05/11/2016 18:10,2061.596575,-95.69
05/11/2016 18:32,2070,-93.85
05/11/2016 19:16,2085,-94.52
05/11/2016 19:38,2061.596575,-99.76
05/11/2016 20:21,2113.596575,-110.72
05/11/2016 20:43,2073,-95.01
05/11/2016 21:27,2004,-92.73
