filling time,[CH4] (ppb),δD SMOW (‰)
2016-11-03 00:01:00,2072.22773644,-85.69
2016-11-03 00:20:00,1962.0,-82.55
2016-11-03 01:12:00,1988.22773644,-81.5
2016-11-03 01:30:00,2045.0,-85.72
2016-11-03 02:23:00,1910.22773644,-73.01
2016-11-03 02:41:00,1943.0,-85.21
2016-11-03 03:33:00,1951.22773644,-83.05
2016-11-03 03:50:00,1953.0,-85.0
2016-11-03 04:42:00,2004.22773644,-113.21
2016-11-03 05:00:00,1991.0,-96.08
2016-11-03 05:51:00,1920.22773644,-101.7
2016-11-03 06:09:00,1947.0,-85.1
2016-11-03 07:00:00,1918.22773644,-81.12
2016-11-03 07:17:00,1940.0,-87.38
2016-11-03 08:09:00,2069.22773644,-99.03
2016-11-03 08:26:00,1980.0,-82.72
2016-11-03 09:17:00,2028.22773644,-109.76
2016-11-03 09:34:00,2079.0,-101.22
2016-11-03 10:25:00,2065.22773644,-97.86
2016-11-03 10:42:00,2044.0,-91.52
2016-11-03 11:33:00,2015.22773644,-98.81
2016-11-03 11:50:00,2006.0,-91.23
2016-11-03 12:41:00,1977.22773644,-80.02
2016-11-03 12:58:00,1985.0,-86.03
2016-11-03 13:49:00,1979.22773644,-89.87
2016-11-03 14:06:00,1970.0,-89.48
2016-11-03 14:57:00,1992.22773644,-86.04
2016-11-03 15:14:00,2027.0,-97.02
2016-11-03 16:05:00,2023.22773644,-99.75
2016-11-03 16:22:00,2053.0,-88.32
2016-11-03 17:13:00,2095.22773644,-100.57
2016-11-03 17:30:00,2114.0,-98.8
2016-11-03 18:21:00,2162.22773644,-113.23
2016-11-03 18:38:00,2097.0,-98.53
2016-11-03 19:29:00,2015.22773644,-91.64
2016-11-03 19:46:00,2036.0,-95.03
2016-11-03 20:37:00,2052.22773644,-98.75
2016-11-03 20:54:00,2084.0,-105.25
2016-11-03 21:45:00,2094.22773644,-103.15
2016-11-03 22:02:00,2123.0,-104.06
2016-11-03 22:53:00,2118.22773644,-98.81
2016-11-03 23:10:00,2117.0,-100.22
2016-11-04 00:01:00,2109.22773644,-105.35
2016-11-04 00:17:00,2108.0,-95.91
2016-11-04 01:08:00,2090.22773644,-100.07
2016-11-04 01:25:00,2102.0,-97.45
2016-11-04 02:16:00,2081.22773644,-92.46
2016-11-04 02:33:00,2088.0,-98.3
2016-11-04 03:24:00,2112.22773644,-96.65
2016-11-04 03:40:00,2131.0,-107.85
2016-11-04 04:31:00,2120.22773644,-92.31
2016-11-04 04:48:00,2119.0,-98.28
2016-11-04 05:39:00,2114.22773644,-104.52
2016-11-04 05:56:00,2119.0,-103.23
2016-11-04 06:47:00,2099.22773644,-108.08
2016-11-04 07:03:00,2089.0,-96.89
2016-11-04 07:54:00,2119.22773644,-100.0
2016-11-04 08:11:00,2130.0,-98.4
2016-11-04 09:02:00,2105.22773644,-99.69
2016-11-04 09:19:00,2129.0,-99.82
2016-11-04 10:10:00,2116.22773644,-106.49
